rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
4-5-7,848,14,1,15,62,0,108,44,1,389,284,1,1743,234,1,27,19,1,291,99,1,3421,756,1
4-6-7,1399,280,1,12,476,0,127,1524,0,241,2134,0,1002,1919,0,47,307,0,141,1024,0,2969,7664,0
1-3-2,0,0,1,0,0,1,0,6,0,0,0,1,0,1,0,0,0,1,0,0,1,0,7,0
1-0-1,16,0,1,13,0,1,20,2,1,5,0,1,2,0,1,12,0,1,7,0,1,75,2,1
0-0-1,2196,113,1,3428,126,1,6439,630,1,10506,2292,1,8964,1347,1,4129,364,1,2893,227,1,38555,5099,1
4-3-3,2,19,0,17,13,1,4,115,0,22,33,0,2,18,0,2,1945,0,0,861,0,49,3004,0
5-5-4,4,10509,0,81,12323,0,1,40672,0,13,32929,0,20,29796,0,0,3453,0,0,2524,0,119,132206,0
3-4-6,289,4,1,332,28,1,682,19,1,378,108,1,1182,29,1,189,30,1,361,95,1,3413,313,1
3-2-1,0,30,0,1,35,0,4,80,0,18,10,1,2,16,0,3,20,0,0,2,0,28,193,0
5-5-3,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
3-1-0,0,6,0,0,6,0,0,20,0,0,4,0,0,9,0,0,2,0,0,0,1,0,47,0
0-2-1,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0
5-4-4,4,8975,0,61,10553,0,0,34587,0,65,22366,0,11,12564,0,0,7210,0,0,3229,0,141,99484,0
0-1-3,109,0,1,124,0,1,152,0,1,250,0,1,76,45,1,65,0,1,68,51,1,844,96,1
2-2-0,0,27,0,0,18,0,0,72,0,9,27,0,0,25,0,0,7,0,0,10,0,9,186,0
1-2-3,2468,198,1,2723,399,1,3864,1917,1,3623,2029,1,6074,1288,1,1956,3070,0,3424,1430,1,24132,10331,1
6-7-7,4,0,1,35,1,1,176,0,1,211,0,1,388,19,1,35,0,1,116,63,1,965,83,1
2-2-3,308,231,1,293,569,0,519,1885,0,303,966,0,411,2108,0,253,2621,0,262,1599,0,2349,9979,0
5-6-7,17,64,0,26,58,0,145,454,0,124,514,0,205,1376,0,49,29,1,62,349,0,628,2844,0
1-2-1,102,165,0,76,183,0,192,207,0,95,7,1,43,40,1,231,13,1,32,18,1,771,633,1
2-4-3,0,2,0,0,0,1,0,4,0,0,0,1,0,4,0,0,2,0,0,0,1,0,12,0
0-0-2,13,0,1,4,0,1,10,0,1,3,0,1,3,0,1,1,0,1,0,0,1,34,0,1
4-4-5,130,1377,0,646,1810,0,291,991,0,454,777,0,592,903,0,132,829,0,58,439,0,2303,7126,0
1-3-4,902,2,1,1536,0,1,1095,8,1,937,136,1,1488,68,1,1145,1,1,1634,132,1,8737,347,1
3-2-0,0,140,0,0,73,0,0,377,0,10,69,0,1,128,0,0,100,0,0,10,0,11,897,0
4-5-6,535,377,1,99,499,0,446,3495,0,663,1344,0,1367,1341,1,56,423,0,129,595,0,3295,8074,0
2-4-4,375,53,1,259,107,1,640,427,1,188,153,1,665,295,1,196,95,1,289,86,1,2612,1216,1
0-0-0,21441,5238,1,26693,1693,1,31126,10159,1,21401,10617,1,18992,7970,1,17649,7567,1,12357,3047,1,149659,46291,1
3-2-3,5,6,0,5,0,1,13,3,1,15,0,1,10,0,1,5,2,1,0,6,0,53,17,1
4-3-2,3,1,1,0,11,0,0,11,0,1,0,1,0,6,0,0,5,0,0,4,0,4,38,0
