rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
4-7-7,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
3-3-4,151,253,0,234,610,0,357,762,0,250,48,1,226,146,1,228,428,0,168,314,0,1614,2561,0
3-3-3,239,720,0,632,682,0,769,1006,0,801,60,1,602,425,1,264,2770,0,87,5567,0,3394,11230,0
5-7-7,9,1,1,16,8,1,19,34,0,26,77,0,43,550,0,30,17,1,14,95,0,157,782,0
4-5-5,56,1257,0,236,4846,0,109,2811,0,153,751,0,319,1784,0,22,1837,0,47,702,0,942,13988,0
4-4-3,12,1459,0,24,158,0,9,8793,0,47,134,0,5,82,0,1,5013,0,0,1773,0,98,17412,0
1-2-2,1232,1375,0,1707,2224,0,3331,3549,0,2279,2556,0,4829,2967,1,1472,2345,0,2167,2334,0,17017,17350,0
4-4-4,217,27805,0,1380,53175,0,188,66776,0,694,14311,0,311,12632,0,86,44791,0,50,7701,0,2926,227191,0
4-5-4,0,1421,0,26,3167,0,0,1239,0,8,795,0,23,609,0,1,689,0,0,225,0,58,8145,0
4-2-1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
5-5-2,0,0,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0
0-2-3,321,0,1,357,0,1,294,0,1,396,4,1,321,26,1,212,0,1,237,10,1,2138,40,1
6-6-7,1,0,1,0,4,0,29,0,1,10,0,1,20,0,1,2,0,1,7,0,1,69,4,1
3-4-3,7,31,0,13,50,0,6,122,0,17,8,1,10,46,0,3,85,0,0,86,0,56,428,0
2-2-1,95,101,0,51,98,0,114,118,0,73,12,1,35,42,0,380,53,1,44,27,1,792,451,1
2-4-5,4804,34,1,6216,110,1,6033,87,1,6300,195,1,6837,500,1,4159,4,1,4365,360,1,38714,1290,1
3-3-1,2,34,0,2,46,0,0,54,0,7,2,1,0,5,0,1,18,0,0,2,0,12,161,0
0-2-2,179,1,1,280,8,1,231,13,1,154,22,1,232,26,1,153,3,1,105,6,1,1334,79,1
1-4-5,15,0,1,36,0,1,14,0,1,10,0,1,8,0,1,0,0,1,7,0,1,90,0,1
3-6-7,55,0,1,0,0,1,35,0,1,14,0,1,6,0,1,0,0,1,122,5,1,232,5,1
2-2-4,5,2,1,6,0,1,25,12,1,22,7,1,44,0,1,2,4,0,20,7,1,124,32,1
5-5-5,5,8019,0,133,22442,0,5,47919,0,11,8379,0,61,33203,0,1,12445,0,2,16189,0,218,148596,0
2-3-5,682,0,1,1123,26,1,665,0,1,326,54,1,643,28,1,540,0,1,398,74,1,4377,182,1
6-6-6,0,0,1,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,1,4,0,1
1-2-0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
3-5-6,3645,85,1,4814,114,1,6330,291,1,5538,381,1,10102,607,1,2843,41,1,4912,283,1,38184,1802,1
5-5-7,0,0,1,0,0,1,4,0,1,3,0,1,5,0,1,1,0,1,1,0,1,14,0,1
4-4-1,0,5,0,0,7,0,0,7,0,2,0,1,0,0,1,0,2,0,0,0,1,2,21,0
1-2-4,150,0,1,304,0,1,320,1,1,276,46,1,421,12,1,162,9,1,260,30,1,1893,98,1
4-6-6,13,30,0,4,82,0,4,927,0,24,317,0,31,441,0,4,59,0,11,80,0,91,1936,0
5-3-1,0,3,0,0,3,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,9,0
0-1-0,421,571,0,321,354,0,1115,870,1,207,207,1,560,403,1,905,527,1,866,53,1,4395,2985,1
2-4-6,185,0,1,673,0,1,334,0,1,744,15,1,259,0,1,405,0,1,244,2,1,2844,17,1
7-7-7,1,0,1,10,0,1,105,0,1,110,0,1,400,0,1,8,0,1,58,0,1,692,0,1
2-0-0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0
3-4-2,0,0,1,0,1,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,0
2-3-4,2336,419,1,2685,750,1,3564,1422,1,2215,736,1,3883,1336,1,2206,601,1,2534,683,1,19423,5947,1
5-5-6,2,2,1,1,4,0,8,39,0,10,17,0,14,84,0,2,0,1,7,17,0,44,163,0
3-5-7,2087,0,1,38,1,1,487,0,1,237,18,1,831,10,1,78,0,1,4055,22,1,7813,51,1
1-3-3,225,78,1,144,25,1,232,615,0,195,227,0,321,94,1,182,778,0,311,122,1,1610,1939,0
6-5-0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,2,0
0-1-4,0,0,1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,2,0,1
4-3-1,3,53,0,0,63,0,2,78,0,7,1,1,0,34,0,0,40,0,0,2,0,12,271,0
5-3-0,0,178,0,0,150,0,0,190,0,2,9,0,0,96,0,0,73,0,0,0,1,2,696,0
2-3-1,0,1,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,1,3,0
6-4-0,0,10,0,0,9,0,0,19,0,0,0,1,0,28,0,0,7,0,0,0,1,0,73,0
3-4-4,298,2154,0,484,5450,0,891,5336,0,563,326,1,753,869,0,319,942,0,297,1680,0,3605,16757,0
0-2-4,0,0,1,1,0,1,2,0,1,8,0,1,0,0,1,0,0,1,0,0,1,11,0,1
4-4-6,1,0,1,0,0,1,4,5,0,3,3,1,6,0,1,2,1,1,2,1,1,18,10,1
5-4-5,1,1802,0,18,638,0,2,810,0,4,352,0,0,64,0,0,1183,0,0,300,0,25,5149,0
1-1-0,135,218,0,109,274,0,107,918,0,35,507,0,77,247,0,519,282,1,887,156,1,1869,2602,0
1-1-2,1480,230,1,2118,843,1,4415,780,1,3321,715,1,8238,910,1,1745,324,1,3572,486,1,24889,4288,1
2-2-2,930,1218,0,898,1202,0,1688,1507,1,1344,172,1,1014,1037,0,1013,1136,0,386,781,0,7273,7053,1
1-0-0,34,186,0,11,158,0,17,501,0,2,244,0,11,219,0,20,88,0,5,90,0,100,1486,0
0-1-1,4416,1219,1,6411,1264,1,15249,3105,1,19118,3478,1,25127,1924,1,8392,1173,1,8186,959,1,86899,13122,1
5-4-1,0,38,0,0,56,0,0,61,0,0,4,0,0,6,0,0,14,0,0,0,1,0,179,0
6-4-1,0,0,1,0,1,0,0,8,0,0,0,1,0,1,0,0,2,0,0,0,1,0,12,0
2-5-6,249,0,1,633,0,1,186,0,1,574,0,1,432,0,1,517,0,1,267,0,1,2858,0,1
2-3-3,311,2091,0,426,3585,0,553,7955,0,366,1010,0,511,3397,0,491,4549,0,428,1551,0,3086,24138,0
2-1-0,0,171,0,0,142,0,0,521,0,10,158,0,1,170,0,2,72,0,0,48,0,13,1282,0
4-4-2,3,5,0,0,15,0,0,10,0,0,0,1,0,1,0,0,0,1,0,0,1,3,31,0
5-5-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2-5-5,32,0,1,74,0,1,49,0,1,18,0,1,91,0,1,18,0,1,97,0,1,379,0,1
3-4-5,2325,838,1,4080,4224,0,4038,1721,1,3210,892,1,5852,1917,1,1618,420,1,2272,1040,1,23395,11052,1
4-3-4,0,12,0,7,1,1,3,4,0,4,8,0,0,9,0,1,214,0,0,198,0,15,446,0
1-3-5,22,0,1,251,0,1,92,0,1,22,0,1,11,0,1,38,0,1,147,0,1,583,0,1
3-3-5,5,0,1,5,0,1,20,0,1,9,1,1,6,0,1,2,0,1,7,1,1,54,2,1
3-5-4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
3-3-0,0,7,0,0,4,0,0,18,0,0,2,0,0,1,0,0,1,0,0,0,1,0,33,0
2-1-2,8,4,1,10,2,1,17,4,1,19,0,1,5,0,1,5,4,1,1,2,0,65,16,1
2-3-2,51,318,0,22,282,0,28,448,0,22,1,1,33,68,0,38,24,1,2,43,0,196,1184,0
5-4-0,0,122,0,0,108,0,0,67,0,1,1,1,0,37,0,0,54,0,0,0,1,1,389,0
4-2-0,0,69,0,0,20,0,0,230,0,1,8,0,0,51,0,0,39,0,0,0,1,1,417,0
5-4-3,0,0,1,0,4,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,0
6-5-1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
2-1-1,25,14,1,23,7,1,29,14,1,20,19,1,17,5,1,34,2,1,6,6,1,154,67,1
1-1-1,2241,878,1,2444,1313,1,5625,2430,1,3085,637,1,6991,862,1,3688,721,1,3997,562,1,28071,7403,1
3-2-2,15,13,1,14,13,1,54,17,1,58,0,1,9,5,1,11,137,0,3,54,0,164,239,0
0-1-2,3865,58,1,4435,191,1,5593,248,1,6741,478,1,6786,433,1,3230,96,1,2992,167,1,33642,1671,1
1-1-3,32,0,1,33,2,1,43,0,1,40,3,1,49,0,1,23,0,1,24,0,1,244,5,1
3-5-5,292,119,1,780,875,0,362,506,0,334,70,1,625,430,1,328,285,1,253,102,1,2974,2387,1
5-6-6,1,1,1,4,11,0,22,117,0,23,2,1,38,56,0,5,6,0,10,28,0,103,221,0
5-4-2,1,2,0,0,14,0,0,7,0,0,0,1,0,2,0,0,2,0,0,0,1,1,27,0
3-3-2,33,83,0,34,96,0,72,109,0,33,0,1,27,42,0,40,306,0,2,147,0,241,783,0
4-3-0,1,200,0,0,150,0,0,410,0,2,31,0,0,132,0,0,103,0,0,0,1,3,1026,0
