rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
21-22-19,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
12-12-13,8,6,1,26,8,1,50,8,1,25,2,1,26,3,1,10,13,0,8,12,0,153,52,1
12-17-20,116,32,1,104,18,1,159,121,1,81,93,0,187,172,1,70,3,1,122,49,1,839,488,1
5-9-9,0,14,0,10,24,0,15,56,0,13,31,0,11,22,0,1,9,0,18,23,0,68,179,0
13-14-11,0,1,0,0,5,0,0,3,0,0,0,1,0,0,1,1,0,1,0,1,0,1,10,0
21-18-8,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
16-15-16,0,8,0,7,1,1,2,4,0,3,8,0,0,6,0,0,178,0,0,159,0,12,364,0
11-19-22,52,0,1,61,0,1,89,0,1,62,0,1,197,0,1,26,0,1,105,0,1,592,0,1
0-4-5,6,0,1,5,0,1,2,3,0,7,3,1,15,2,1,11,0,1,8,0,1,54,8,1
17-21-20,0,0,1,0,0,1,0,0,1,0,0,1,0,9,0,0,0,1,0,0,1,0,9,0
22-18-3,0,4,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,5,0
14-16-16,1,9,0,2,3,0,10,29,0,2,0,1,3,7,0,2,8,0,2,9,0,22,65,0
16-9-1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
23-22-20,0,0,1,0,0,1,0,0,1,0,0,1,0,12,0,0,0,1,0,0,1,0,12,0
8-10-4,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
10-18-23,211,0,1,338,0,1,248,0,1,407,0,1,95,0,1,430,0,1,120,0,1,1849,0,1
14-12-13,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1
15-10-1,0,4,0,0,1,0,0,19,0,1,2,0,0,5,0,0,7,0,0,0,1,1,38,0
15-14-7,0,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0
15-16-12,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0
27-29-30,0,0,1,0,0,1,2,0,1,0,0,1,1,0,1,0,0,1,0,0,1,3,0,1
8-5-3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3,0
1-3-0,0,3,0,3,3,1,3,21,0,0,1,0,0,0,1,6,2,1,1,1,1,13,31,0
9-14-12,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
8-11-16,4,2,1,6,0,1,15,8,1,14,5,1,29,0,1,1,4,0,15,7,1,84,26,1
8-8-7,72,19,1,44,12,1,97,1,1,31,2,1,27,3,1,203,11,1,33,9,1,507,57,1
14-20-24,180,17,1,417,11,1,487,10,1,246,39,1,443,88,1,106,8,1,177,30,1,2056,203,1
14-22-26,132,0,1,165,0,1,193,0,1,166,0,1,385,4,1,121,0,1,175,3,1,1337,7,1
14-9-3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
9-16-23,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,3,0,1
12-18-23,125,3,1,274,14,1,239,0,1,144,27,1,435,7,1,67,0,1,119,52,1,1403,103,1
6-10-15,32,0,1,46,0,1,92,0,1,73,21,1,115,6,1,35,2,1,72,6,1,465,35,1
12-15-22,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
17-15-4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0
13-14-14,9,10,0,20,15,1,21,29,0,18,3,1,26,9,1,14,84,0,4,36,0,112,186,0
4-11-13,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,3,0,1
8-7-7,19,6,1,20,2,1,20,2,1,15,1,1,4,0,1,24,2,1,4,4,1,106,17,1
23-28-31,1,0,1,3,0,1,11,1,1,9,0,1,16,2,1,2,0,1,5,5,1,47,8,1
10-14-12,0,5,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,8,0
5-5-6,53,5,1,51,5,1,126,11,1,111,0,1,146,0,1,40,16,1,67,5,1,594,42,1
1-5-6,19,0,1,7,1,1,12,16,0,17,6,1,38,10,1,49,8,1,22,1,1,164,42,1
13-18-23,44,1,1,83,8,1,62,5,1,81,13,1,89,17,1,21,0,1,26,25,1,406,69,1
10-14-14,1,114,0,1,143,0,0,290,0,0,18,0,0,103,0,3,56,0,0,75,0,5,799,0
14-17-16,0,0,1,0,3,0,0,5,0,0,0,1,1,3,0,0,0,1,0,0,1,1,11,0
6-8-11,32,5,1,47,20,1,49,14,1,44,11,1,123,19,1,27,13,1,52,4,1,374,86,1
21-20-18,0,0,1,0,0,1,0,81,0,0,15,0,0,479,0,0,0,1,0,1,0,0,576,0
14-13-6,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
