rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
10-12-7,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
12-9-0,0,1,0,0,1,0,0,5,0,0,1,0,0,3,0,0,1,0,0,0,1,0,12,0
9-6-3,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,5,0
9-12-12,4,238,0,8,413,0,2,656,0,0,18,0,7,207,0,8,233,0,0,97,0,29,1862,0
12-20-26,8,0,1,20,0,1,45,0,1,14,2,1,7,0,1,36,0,1,46,1,1,176,3,1
17-22-28,0,0,1,0,1,0,3,0,1,2,11,0,1,0,1,4,0,1,1,0,1,11,12,0
1-7-9,0,0,1,0,0,1,2,0,1,1,0,1,0,0,1,4,0,1,0,0,1,7,0,1
16-17-17,5,19,0,20,27,0,8,148,0,11,26,0,13,25,0,5,156,0,3,81,0,65,482,0
5-12-16,29,0,1,25,0,1,27,0,1,21,0,1,18,0,1,21,0,1,31,0,1,172,0,1
4-6-4,0,3,0,5,11,0,26,4,1,3,2,1,5,2,1,8,2,1,18,0,1,65,24,1
19-22-28,0,0,1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,2,0,1
8-12-18,1,0,1,2,0,1,15,0,1,3,0,1,38,0,1,2,0,1,6,0,1,67,0,1
21-17-8,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0
11-9-6,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,3,0
9-15-19,261,0,1,299,11,1,201,0,1,203,16,1,235,64,1,182,2,1,204,21,1,1585,114,1
6-9-11,54,41,1,46,76,0,124,125,0,62,282,0,230,138,1,41,195,0,132,142,0,689,999,0
11-16-20,161,3,1,168,20,1,247,27,1,171,50,1,194,93,1,87,1,1,152,61,1,1180,255,1
10-19-21,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
10-17-20,115,0,1,56,0,1,52,0,1,92,0,1,166,17,1,25,0,1,56,2,1,562,19,1
1-3-6,127,0,1,94,3,1,230,9,1,445,27,1,152,5,1,120,6,1,49,3,1,1217,53,1
16-18-20,10,55,0,87,73,1,22,44,0,53,48,1,70,22,1,38,43,0,13,35,0,293,320,0
16-11-2,0,9,0,0,3,0,0,13,0,1,2,0,0,1,0,0,4,0,0,0,1,1,32,0
9-7-5,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
7-11-18,0,0,1,0,0,1,7,0,1,0,0,1,3,0,1,0,0,1,0,0,1,10,0,1
24-17-2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
24-17-4,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
1-4-5,118,11,1,69,0,1,142,74,1,487,98,1,377,54,1,253,53,1,140,29,1,1586,319,1
8-8-2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0
11-15-15,0,92,0,0,157,0,0,301,0,0,1,0,5,87,0,1,30,0,0,36,0,6,704,0
5-3-0,0,43,0,0,39,0,0,122,0,0,37,0,1,42,0,0,25,0,0,17,0,1,325,0
12-18-21,111,13,1,143,14,1,249,87,1,89,50,1,320,131,1,58,4,1,137,13,1,1107,312,1
20-19-14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
17-11-0,0,8,0,0,2,0,0,36,0,0,0,1,0,8,0,0,4,0,0,0,1,0,58,0
8-9-10,30,9,1,56,21,1,45,36,1,43,5,1,33,17,1,38,23,1,31,13,1,276,124,1
4-10-14,50,0,1,56,0,1,45,0,1,61,0,1,61,2,1,41,0,1,83,1,1,397,3,1
15-14-11,0,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,6,0
4-6-7,84,60,1,187,222,0,666,209,1,405,212,1,1687,223,1,190,68,1,453,95,1,3672,1089,1
20-17-8,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0
19-23-26,0,7,0,0,3,0,5,68,0,3,4,0,11,45,0,1,2,0,3,1,1,23,130,0
13-17-18,5,61,0,1,225,0,12,202,0,7,0,1,16,21,0,4,26,0,2,49,0,47,584,0
17-11-1,0,11,0,0,2,0,0,9,0,0,2,0,0,5,0,0,5,0,0,0,1,0,34,0
13-17-19,38,31,1,35,53,0,59,171,0,50,46,1,68,13,1,27,44,0,21,22,0,298,380,0
21-23-27,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,0,0,1,1,0,1,4,0,1
12-8-2,0,0,1,0,1,0,0,2,0,1,3,0,0,6,0,0,2,0,0,0,1,1,14,0
16-16-15,9,114,0,21,43,0,7,1179,0,35,15,1,4,61,0,1,1896,0,0,1012,0,77,4320,0
0-1-4,2,0,1,1,0,1,4,0,1,4,11,0,0,0,1,4,0,1,0,0,1,15,11,1
8-7-2,0,3,0,0,2,0,0,2,0,1,3,0,0,2,0,0,1,0,0,1,0,1,14,0
13-23-30,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,23,0,1,23,0,1
16-11-3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,3,0
9-15-17,9,19,0,9,12,0,43,19,1,18,1,1,12,15,0,14,3,1,27,0,1,132,69,1
17-14-4,0,2,0,0,2,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,8,0
26-27-29,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
3-9-13,34,0,1,51,0,1,32,0,1,40,0,1,40,2,1,33,0,1,41,0,1,271,2,1
4-9-13,98,0,1,136,0,1,157,0,1,149,1,1,152,12,1,83,0,1,107,3,1,882,16,1
7-7-11,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,3,0,1
19-19-13,0,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0
27-30-31,0,0,1,1,0,1,8,0,1,9,0,1,31,0,1,1,0,1,11,0,1,61,0,1
17-21-26,1,0,1,1,1,1,1,0,1,4,0,1,4,0,1,1,0,1,2,0,1,14,1,1
4-10-16,1,0,1,19,0,1,5,0,1,9,0,1,2,0,1,3,0,1,3,0,1,42,0,1
17-18-18,9,52,0,52,173,0,9,232,0,12,77,0,7,55,0,5,116,0,4,78,0,98,783,0
9-13-11,0,6,0,0,2,0,0,9,0,0,0,1,0,0,1,0,0,1,0,0,1,0,17,0
18-12-2,0,4,0,0,0,1,0,8,0,0,2,0,0,3,0,0,0,1,0,0,1,0,17,0
17-19-23,0,0,1,0,0,1,2,0,1,0,0,1,1,0,1,1,0,1,0,0,1,4,0,1
16-17-21,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,2,1,1
8-8-9,32,7,1,23,4,1,81,11,1,56,7,1,73,0,1,15,10,1,18,6,1,298,45,1
25-29-31,1,0,1,1,0,1,16,0,1,12,0,1,29,0,1,2,0,1,8,0,1,69,0,1
15-20-26,0,1,0,2,0,1,2,0,1,1,3,0,7,0,1,1,0,1,0,0,1,13,4,1
20-14-0,0,11,0,0,22,0,0,17,0,1,0,1,0,8,0,0,5,0,0,0,1,1,63,0
3-8-16,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
8-14-21,1,0,1,6,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,7,0,1
6-13-15,6,0,1,1,0,1,0,0,1,0,0,1,1,0,1,6,0,1,0,0,1,14,0,1
18-19-19,9,330,0,94,325,0,3,301,0,14,186,0,36,279,0,1,255,0,2,86,0,159,1762,0
15-10-3,0,1,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,6,0
6-5-7,1,0,1,1,0,1,3,0,1,0,0,1,0,0,1,3,0,1,0,0,1,8,0,1
13-21-23,2,0,1,5,0,1,4,0,1,0,0,1,1,2,0,3,0,1,8,0,1,23,2,1
13-14-9,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
7-9-15,0,0,1,0,0,1,1,0,1,0,3,0,3,1,1,0,0,1,0,0,1,4,4,1
15-24-29,14,0,1,0,0,1,2,0,1,0,0,1,4,0,1,0,0,1,20,3,1,40,3,1
14-9-0,0,10,0,0,3,0,0,22,0,0,2,0,0,8,0,0,12,0,0,0,1,0,57,0
22-17-4,0,1,0,0,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,6,0
8-13-12,0,6,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,9,0
1-3-2,343,208,1,365,56,1,562,399,1,288,202,1,177,196,0,588,388,1,251,170,1,2574,1619,1
9-12-15,28,4,1,23,8,1,35,31,1,39,37,1,54,103,0,26,12,1,28,33,0,233,228,1
8-9-9,57,16,1,70,25,1,72,33,1,90,4,1,79,8,1,38,13,1,25,13,1,431,112,1
23-19-6,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
13-10-5,0,0,1,0,3,0,0,3,0,0,0,1,0,1,0,0,2,0,0,0,1,0,9,0
19-18-21,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1
6-11-16,48,0,1,57,0,1,90,0,1,65,16,1,108,8,1,57,0,1,77,5,1,502,29,1
13-12-10,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,38,0,0,11,0,0,54,0
16-23-27,142,0,1,5,32,0,58,40,1,230,26,1,625,52,1,1,9,0,27,4,1,1088,163,1
11-19-23,229,0,1,543,0,1,473,0,1,510,0,1,667,0,1,227,0,1,391,1,1,3040,1,1
6-6-8,20,1,1,11,4,1,24,0,1,8,0,1,9,0,1,9,1,1,13,0,1,94,6,1
6-8-8,27,110,0,46,140,0,42,129,0,53,5,1,28,42,0,38,17,1,39,44,0,273,487,0
23-15-0,0,3,0,0,11,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,16,0
13-22-28,0,0,1,0,0,1,13,0,1,5,0,1,17,0,1,27,0,1,152,0,1,214,0,1
3-6-13,0,0,1,0,0,1,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,4,0,1
9-15-20,235,0,1,302,9,1,166,0,1,95,27,1,266,7,1,163,0,1,112,21,1,1339,64,1
14-10-0,0,2,0,0,0,1,0,6,0,0,0,1,0,2,0,0,1,0,0,0,1,0,11,0
22-19-5,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0
11-15-20,30,0,1,27,5,1,51,0,1,29,17,1,38,4,1,19,0,1,17,6,1,211,32,1
15-20-24,49,27,1,30,3,1,96,22,1,34,17,1,43,26,1,7,8,0,11,8,1,270,111,1
14-14-16,2,2,1,6,3,1,5,0,1,5,0,1,3,1,1,1,6,0,1,9,0,23,21,1
15-22-27,324,2,1,80,9,1,267,0,1,97,19,1,351,65,1,51,0,1,264,31,1,1434,126,1
3-11-15,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
16-16-13,0,1,0,0,0,1,0,6,0,0,0,1,0,0,1,0,23,0,0,17,0,0,47,0
19-16-9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
7-10-11,14,86,0,16,134,0,46,258,0,26,411,0,22,433,0,29,285,0,32,343,0,185,1950,0
20-16-0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
7-12-14,27,19,1,19,6,1,22,302,0,17,88,0,48,39,1,24,324,0,61,21,1,218,799,0
18-25-28,0,3,0,0,3,0,0,66,0,0,25,0,0,73,0,0,4,0,1,10,0,1,184,0
1-4-7,205,0,1,125,9,1,220,34,1,457,34,1,226,27,1,145,19,1,55,11,1,1433,134,1
13-11-2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0
13-16-18,19,18,1,24,48,0,48,57,0,27,10,1,28,25,1,25,15,1,19,19,1,190,192,0
3-3-7,0,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,0,1
21-26-31,1,0,1,0,4,0,4,2,1,4,16,0,3,11,0,0,0,1,0,2,0,12,35,0
11-14-12,0,1,0,0,7,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,0,12,0
6-11-13,27,8,1,26,2,1,41,208,0,39,21,1,78,35,1,22,411,0,37,37,1,270,722,0
11-12-15,2,1,1,2,1,1,5,0,1,3,0,1,1,0,1,0,0,1,0,2,0,13,4,1
23-18-6,0,0,1,0,2,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,5,0
15-15-5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
15-10-2,0,2,0,0,2,0,0,7,0,0,1,0,0,2,0,0,2,0,0,0,1,0,16,0
17-18-21,3,10,0,6,7,0,4,0,1,3,7,0,4,1,1,0,1,0,1,3,0,21,29,0
6-13-14,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,1,0,1,1,3,0
4-8-16,0,0,1,0,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,3,0,1
22-23-22,0,0,1,0,0,1,0,0,1,0,0,1,0,5,0,0,0,1,0,0,1,0,5,0
18-11-0,0,6,0,0,0,1,0,29,0,0,0,1,0,4,0,0,1,0,0,0,1,0,40,0
2-5-5,23,37,0,34,39,0,259,99,1,301,156,1,132,43,1,102,43,1,94,22,1,945,439,1
21-24-27,0,0,1,1,0,1,1,3,0,0,0,1,3,0,1,1,0,1,0,0,1,6,3,1
20-17-10,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
5-13-19,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,2,0,1
21-25-28,0,2,0,1,0,1,5,12,0,5,2,1,17,0,1,1,1,1,2,2,1,31,19,1
5-8-12,84,5,1,80,3,1,119,25,1,140,21,1,251,30,1,60,11,1,126,2,1,860,97,1
11-13-12,0,18,0,5,16,0,1,16,0,1,0,1,1,6,0,7,5,1,0,0,1,15,61,0
20-25-26,0,0,1,0,0,1,0,5,0,0,0,1,0,1,0,0,1,0,1,0,1,1,7,0
9-12-14,15,26,0,15,98,0,21,347,0,23,124,0,23,252,0,27,360,0,22,67,0,146,1274,0
24-19-3,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
8-11-15,27,1,1,22,7,1,39,3,1,25,19,1,66,17,1,15,1,1,29,13,1,223,61,1
22-28-30,0,0,1,0,0,1,0,0,1,0,0,1,3,6,0,0,0,1,0,2,0,3,8,0
16-22-22,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
6-12-15,57,1,1,30,0,1,62,13,1,40,4,1,73,3,1,35,0,1,64,19,1,361,40,1
3-7-11,160,3,1,247,1,1,234,0,1,328,6,1,267,13,1,182,0,1,127,4,1,1545,27,1
8-16-19,7,0,1,9,0,1,8,0,1,9,0,1,11,0,1,6,0,1,5,0,1,55,0,1
15-14-9,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,2,0
21-23-25,0,0,1,0,0,1,0,1,0,0,0,1,1,4,0,0,0,1,0,0,1,1,5,0
10-9-11,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,2,2,1
16-23-31,2,0,1,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,1,6,0,1
8-3-0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0
10-9-10,3,3,1,2,0,1,11,0,1,17,0,1,5,0,1,3,3,1,1,1,1,42,7,1
6-14-17,2,0,1,4,0,1,3,0,1,0,0,1,6,0,1,6,0,1,1,0,1,22,0,1
18-20-22,3,70,0,10,42,0,7,44,0,17,37,0,13,54,0,1,5,0,0,6,0,51,258,0
11-20-25,67,0,1,89,0,1,53,0,1,174,0,1,50,0,1,136,0,1,25,0,1,594,0,1
26-20-2,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
9-9-10,23,11,1,31,5,1,66,8,1,45,0,1,57,1,1,12,12,1,17,10,1,251,47,1
20-28-31,3,1,1,0,2,0,0,4,0,0,2,0,0,24,0,1,1,1,0,6,0,4,40,0
18-14-5,0,1,0,0,2,0,1,2,0,0,0,1,0,2,0,0,2,0,0,0,1,1,9,0
16-23-28,266,2,1,5,31,0,25,5,1,281,33,1,1077,77,1,5,7,0,76,45,1,1735,200,1
18-24-28,7,40,0,0,44,0,1,269,0,8,162,0,1,148,0,2,38,0,1,47,0,20,748,0
17-24-31,67,0,1,0,0,1,1,0,1,0,3,0,81,0,1,0,0,1,0,1,0,149,4,1
16-10-0,0,11,0,0,2,0,0,38,0,0,0,1,0,8,0,0,3,0,0,0,1,0,62,0
18-20-19,0,5,0,1,21,0,0,13,0,0,9,0,4,12,0,1,11,0,0,7,0,6,78,0
8-13-19,1,0,1,13,0,1,7,0,1,5,0,1,30,1,1,6,0,1,19,1,1,81,2,1
19-23-28,2,1,1,0,0,1,3,0,1,3,0,1,6,0,1,0,0,1,0,0,1,14,1,1
14-11-6,0,1,0,0,0,1,0,6,0,1,0,1,0,0,1,0,0,1,0,0,1,1,7,0
24-26-28,0,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,1,1
2-6-7,39,1,1,36,13,1,53,38,1,85,26,1,129,14,1,51,2,1,51,2,1,444,96,1
22-15-2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0
9-7-8,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
12-14-12,0,1,0,0,9,0,0,3,0,0,0,1,0,0,1,0,2,0,0,1,0,0,16,0
21-17-6,0,3,0,0,3,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,9,0
12-14-16,15,9,1,18,22,0,25,25,1,19,1,1,26,16,1,18,51,0,15,15,1,136,139,0
20-27-29,0,0,1,0,0,1,1,11,0,0,0,1,1,12,0,0,0,1,0,1,0,2,24,0
1-3-3,526,138,1,608,47,1,1409,581,1,2375,2183,1,1444,990,1,1102,317,1,507,262,1,7971,4518,1
2-9-15,0,0,1,0,0,1,0,0,1,5,0,1,0,0,1,0,0,1,0,1,0,5,1,1
20-26-29,0,0,1,1,2,0,1,43,0,3,13,0,3,51,0,0,3,0,2,9,0,10,121,0
5-4-0,0,18,0,0,17,0,0,47,0,0,17,0,0,17,0,0,8,0,0,14,0,0,138,0
13-13-9,0,4,0,0,4,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,1,0,13,0
11-9-9,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
14-10-5,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2-6-11,36,0,1,34,0,1,37,0,1,106,0,1,32,3,1,21,0,1,19,0,1,285,3,1
23-16-4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
9-9-2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
18-23-24,1,0,1,1,1,1,0,26,0,0,4,0,0,17,0,0,7,0,0,2,0,2,57,0
7-9-14,0,0,1,0,0,1,2,2,1,2,0,1,2,1,1,3,4,0,4,1,1,13,8,1
21-16-6,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
4-3-3,17,1,1,8,1,1,12,4,1,1,0,1,6,1,1,19,2,1,5,0,1,68,9,1
7-11-11,2,48,0,5,91,0,10,164,0,1,23,0,2,47,0,3,180,0,9,46,0,32,599,0
11-17-21,240,9,1,310,30,1,320,7,1,545,10,1,445,77,1,184,1,1,378,55,1,2422,189,1
7-9-8,21,48,0,12,37,0,13,75,0,28,2,1,8,10,0,19,4,1,2,12,0,103,188,0
7-16-20,4,0,1,5,0,1,13,0,1,6,0,1,4,0,1,0,0,1,3,0,1,35,0,1
14-23-28,67,0,1,3,0,1,110,0,1,71,0,1,103,0,1,0,0,1,121,2,1,475,2,1
16-16-18,0,3,0,2,3,0,2,7,0,3,2,1,0,4,0,3,11,0,2,9,0,12,39,0
6-7-10,5,1,1,8,2,1,17,3,1,6,0,1,7,1,1,0,0,1,1,0,1,44,7,1
7-11-17,1,0,1,8,0,1,33,0,1,7,0,1,37,0,1,5,0,1,11,0,1,102,0,1
17-24-26,0,3,0,0,0,1,0,49,0,0,6,0,1,20,0,0,1,0,0,0,1,1,79,0
12-7-2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
5-13-15,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,0,1
17-12-0,0,4,0,0,5,0,0,14,0,0,1,0,0,3,0,0,0,1,0,0,1,0,27,0
5-12-19,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
11-9-2,0,0,1,0,1,0,0,7,0,1,4,0,0,0,1,0,0,1,0,1,0,1,13,0
16-21-28,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
19-18-19,4,991,0,19,103,0,1,255,0,3,57,0,0,35,0,0,178,0,0,23,0,27,1642,0
12-14-10,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
18-13-2,0,3,0,0,7,0,0,12,0,1,1,1,0,3,0,0,1,0,0,0,1,1,27,0
15-17-21,1,5,0,3,2,1,8,1,1,3,0,1,8,3,1,0,0,1,0,0,1,23,11,1
16-14-9,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,2,0
