rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
11-13-15,4,0,1,5,3,1,40,12,1,33,9,1,55,3,1,5,8,0,10,15,0,152,50,1
10-9-6,0,0,1,0,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0
2-2-4,39,0,1,34,2,1,59,4,1,36,4,1,71,0,1,21,0,1,55,1,1,315,11,1
0-3-5,173,0,1,128,0,1,69,0,1,154,0,1,26,13,1,46,0,1,24,18,1,620,31,1
6-3-1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,4,0
11-12-12,0,0,1,0,0,1,2,0,1,0,0,1,1,0,1,0,0,1,0,0,1,3,0,1
1-2-2,1821,855,1,3466,671,1,8452,1813,1,7365,1668,1,9800,952,1,3886,588,1,4013,418,1,38803,6965,1
12-12-13,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
6-11-14,0,0,1,0,0,1,29,0,1,9,0,1,17,0,1,27,0,1,473,0,1,555,0,1
8-12-12,0,0,1,0,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0
5-6-4,0,7,0,0,12,0,0,6,0,0,0,1,0,2,0,0,0,1,0,0,1,0,27,0
9-8-9,5,356,0,7,3,1,0,232,0,2,66,0,0,8,0,0,124,0,0,31,0,14,820,0
1-3-3,204,148,1,214,261,0,1230,448,1,1151,374,1,1961,226,1,361,65,1,695,131,1,5816,1653,1
1-4-8,0,0,1,0,0,1,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,4,0,1
6-10-14,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,3,0,1,8,0,1,12,0,1
11-8-0,0,55,0,0,54,0,0,16,0,0,0,1,0,11,0,0,28,0,0,0,1,0,164,0
5-6-5,51,76,0,20,67,0,27,80,0,22,0,1,29,30,0,35,14,1,2,15,0,186,282,0
7-11-15,144,0,1,0,0,1,47,0,1,2,0,1,0,0,1,0,0,1,1167,0,1,1360,0,1
8-8-10,3,3,1,3,2,1,3,7,0,4,1,1,4,1,1,1,1,1,0,2,0,18,17,1
9-13-14,0,1,0,0,0,1,0,27,0,1,8,0,3,31,0,0,6,0,0,2,0,4,75,0
9-6-2,0,1,0,0,0,1,0,4,0,1,0,1,0,0,1,0,4,0,0,0,1,1,9,0
2-7-9,0,0,1,3,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,4,0,1
10-13-14,0,2,0,3,5,0,10,95,0,8,15,0,11,76,0,1,4,0,6,27,0,39,224,0
5-4-1,0,12,0,0,11,0,0,35,0,7,18,0,0,14,0,0,5,0,0,8,0,7,103,0
4-4-7,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
4-3-3,25,7,1,23,3,1,26,3,1,15,5,1,16,0,1,27,2,1,6,4,1,138,24,1
6-10-13,164,0,1,300,0,1,737,0,1,573,28,1,306,0,1,413,0,1,545,35,1,3038,63,1
10-7-0,0,67,0,0,60,0,0,91,0,1,6,0,0,49,0,0,37,0,0,0,1,1,310,0
9-8-7,0,23,0,0,16,0,0,1308,0,0,24,0,0,1,0,0,12,0,0,0,1,0,1384,0
13-13-14,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0,1
4-4-5,80,28,1,113,48,1,175,65,1,112,11,1,127,40,1,74,44,1,71,27,1,752,263,1
2-1-2,15,0,1,13,0,1,20,2,1,5,0,1,2,0,1,12,0,1,7,0,1,74,2,1
7-4-0,0,24,0,0,5,0,0,70,0,0,7,0,0,28,0,0,18,0,0,0,1,0,152,0
8-6-2,1,20,0,0,15,0,0,25,0,1,1,1,0,15,0,0,6,0,0,1,0,2,83,0
8-10-11,44,222,0,98,1485,0,63,770,0,80,99,0,141,130,1,18,677,0,25,98,0,469,3481,0
9-8-8,3,672,0,34,453,0,2,4453,0,32,946,0,1,193,0,1,3077,0,0,316,0,73,10110,0
6-7-7,26,260,0,60,363,0,66,497,0,57,6,1,65,118,0,54,313,0,26,224,0,354,1781,0
1-1-3,37,7,1,47,0,1,124,1,1,93,10,1,74,2,1,26,0,1,22,2,1,423,22,1
8-10-14,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
8-11-11,0,11,0,0,33,0,0,121,0,1,16,0,6,38,0,0,231,0,2,2,1,9,452,0
6-6-3,0,7,0,0,10,0,0,7,0,5,0,1,0,1,0,0,2,0,0,1,0,5,28,0
8-7-2,0,8,0,0,6,0,0,8,0,0,0,1,0,0,1,0,4,0,0,0,1,0,26,0
3-6-9,106,0,1,461,0,1,111,0,1,161,12,1,199,10,1,214,0,1,420,10,1,1672,32,1
10-8-3,0,8,0,0,15,0,0,15,0,0,1,0,0,0,1,0,3,0,0,0,1,0,42,0
3-3-3,580,117,1,454,100,1,831,174,1,566,15,1,458,26,1,804,114,1,282,80,1,3975,626,1
8-10-13,12,1,1,12,8,1,21,1,1,26,10,1,13,12,1,8,2,1,8,6,1,100,40,1
5-4-2,0,9,0,0,8,0,2,24,0,1,6,0,0,7,0,5,7,0,0,4,0,8,65,0
4-5-3,1,7,0,0,2,0,0,6,0,1,0,1,0,0,1,2,1,1,0,1,0,4,17,0
