rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
7-6-8,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1
11-11-11,0,0,1,0,75,0,0,0,1,0,0,1,0,47,0,0,3,0,0,10,0,0,135,0
11-14-15,5,0,1,15,1,1,19,12,1,24,33,0,35,235,0,19,10,1,14,48,0,131,339,0
8-8-3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
15-15-15,0,0,1,0,0,1,22,0,1,20,0,1,58,0,1,0,0,1,0,0,1,100,0,1
7-8-8,18,188,0,72,249,0,88,381,0,70,22,1,55,84,0,22,258,0,32,207,0,357,1389,0
0-0-2,5,0,1,1,0,1,9,0,1,5,11,0,2,0,1,4,0,1,0,0,1,26,11,1
7-12-14,21,0,1,0,0,1,2,0,1,14,0,1,6,0,1,0,0,1,23,4,1,66,4,1
9-6-0,0,86,0,0,55,0,0,194,0,1,12,0,0,53,0,0,34,0,0,0,1,1,434,0
2-5-8,61,0,1,181,0,1,70,0,1,97,1,1,63,2,1,70,0,1,76,2,1,618,5,1
10-11-12,1,1,1,1,3,0,4,32,0,5,16,0,3,63,0,1,0,1,2,13,0,17,128,0
4-7-10,542,0,1,929,15,1,376,0,1,176,28,1,435,7,1,473,0,1,302,40,1,3233,90,1
6-7-11,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
5-7-8,161,285,0,128,456,0,390,983,0,139,158,0,257,252,1,231,497,0,169,161,1,1475,2792,0
7-6-0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0
9-7-0,0,14,0,0,15,0,0,19,0,0,2,0,0,1,0,0,8,0,0,0,1,0,59,0
6-6-5,31,34,0,34,33,1,72,21,1,31,0,1,27,22,1,36,234,0,2,101,0,233,445,0
9-8-5,0,0,1,0,2,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,6,0
2-5-6,215,6,1,188,12,1,287,179,1,267,9,1,370,66,1,134,552,0,199,155,1,1660,979,1
10-11-13,0,1,0,0,0,1,3,7,0,4,1,1,11,21,0,1,0,1,4,4,1,23,34,0
1-4-7,29,0,1,27,0,1,29,0,1,66,0,1,30,0,1,20,0,1,19,3,1,220,3,1
5-5-6,46,20,1,74,50,1,125,33,1,73,17,1,78,17,1,46,35,1,30,40,0,472,212,1
1-0-1,18,3,1,19,0,1,28,3,1,4,0,1,15,0,1,13,1,1,5,0,1,102,7,1
2-6-6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,1,0,1,1,2,0
8-11-14,620,9,1,12,54,0,83,33,1,368,240,1,1642,224,1,21,17,1,216,94,1,2962,671,1
8-12-15,926,3,1,0,12,0,49,3,1,15,68,0,455,18,1,3,2,1,87,82,1,1535,188,1
12-13-13,0,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,0,1
5-9-11,1205,1,1,1949,8,1,2008,0,1,2709,10,1,2551,24,1,1448,0,1,1530,24,1,13400,67,1
7-9-10,79,407,0,376,3821,0,245,688,0,209,112,1,396,137,1,161,179,0,129,261,0,1595,5605,0
5-5-1,0,0,1,0,0,1,0,5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,5,0
4-7-8,171,43,1,203,41,1,298,99,1,165,65,1,239,181,1,172,19,1,285,45,1,1533,493,1
1-4-5,171,1,1,269,1,1,222,3,1,130,5,1,215,22,1,142,0,1,95,5,1,1244,37,1
4-7-6,0,8,0,0,0,1,0,5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,14,0
2-2-2,661,142,1,716,134,1,1154,862,1,625,84,1,1375,184,1,1147,252,1,899,58,1,6577,1716,1
11-10-4,0,0,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0
1-4-6,266,0,1,287,0,1,249,0,1,297,3,1,266,14,1,178,0,1,203,5,1,1746,22,1
6-5-5,15,11,1,14,8,1,54,4,1,56,0,1,9,5,1,11,85,0,3,50,0,162,163,0
7-7-2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2-5-7,400,0,1,419,0,1,359,5,1,500,16,1,527,45,1,334,2,1,534,15,1,3073,83,1
0-2-5,57,0,1,28,0,1,32,0,1,65,0,1,6,13,0,12,0,1,11,14,0,211,27,1
7-9-11,212,99,1,278,42,1,316,138,1,332,83,1,326,264,1,125,62,1,147,66,1,1736,754,1
2-2-3,265,50,1,466,121,1,909,106,1,661,78,1,1838,48,1,325,63,1,908,42,1,5372,508,1
7-11-13,1282,4,1,482,10,1,1098,4,1,863,36,1,2149,117,1,285,1,1,1111,52,1,7270,224,1
0-1-1,4515,825,1,5939,307,1,9977,3317,1,11187,7637,1,7083,3172,1,5358,2222,1,1991,1178,1,46050,18658,1
5-2-0,0,3,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,8,0
0-2-1,5,2,1,9,1,1,71,52,1,17,26,0,21,10,1,33,17,1,29,5,1,185,113,1
8-9-7,0,0,1,0,1,0,0,18,0,0,0,1,0,0,1,0,0,1,0,0,1,0,19,0
5-8-10,1575,30,1,1466,85,1,1977,84,1,1859,147,1,2337,396,1,781,4,1,1435,231,1,11430,977,1
3-4-2,2,8,0,0,3,0,3,9,0,0,1,0,0,0,1,0,0,1,0,0,1,5,21,0
7-7-5,1,10,0,0,20,0,0,9,0,0,0,1,0,5,0,0,5,0,0,23,0,1,72,0
2-4-6,700,19,1,947,30,1,1137,87,1,1159,93,1,1625,143,1,635,150,1,864,56,1,7067,578,1
6-6-8,1,2,0,2,2,1,2,0,1,1,0,1,5,0,1,2,0,1,2,3,0,15,7,1
7-8-6,1,0,1,0,4,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,1,2,7,0
6-6-7,26,24,1,67,27,1,93,68,1,71,10,1,54,25,1,41,87,0,17,50,0,369,291,1
5-11-13,2,0,1,2,0,1,0,0,1,0,0,1,0,0,1,4,0,1,0,0,1,8,0,1
0-3-7,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,0,0,6,0
9-14-15,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
9-10-13,0,0,1,0,0,1,2,0,1,4,0,1,4,0,1,0,0,1,0,0,1,10,0,1
11-12-15,0,0,1,0,0,1,3,0,1,2,0,1,3,0,1,0,0,1,0,0,1,8,0,1
5-9-9,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
11-11-9,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0,0,0,1,0,0,1,0,4,0
4-6-9,75,0,1,130,0,1,175,0,1,95,25,1,354,16,1,95,0,1,126,35,1,1050,76,1
7-6-2,1,10,0,1,16,0,0,24,0,0,1,0,0,3,0,0,10,0,0,1,0,2,65,0
1-1-0,2119,861,1,2300,361,1,1249,1122,1,25,245,0,654,677,0,736,336,1,972,115,1,8055,3717,1
5-6-6,50,432,0,105,626,0,106,1208,0,74,69,1,94,410,0,92,448,0,36,192,0,557,3385,0
9-7-3,0,5,0,0,11,0,1,14,0,2,0,1,0,3,0,0,5,0,0,0,1,3,38,0
8-4-0,0,0,1,0,0,1,0,20,0,0,0,1,0,0,1,0,0,1,0,0,1,0,20,0
1-2-4,741,2,1,761,23,1,1141,23,1,1888,112,1,1358,36,1,638,35,1,472,20,1,6999,251,1
6-11-15,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,30,0,1,30,0,1
0-4-5,4,0,1,4,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,10,0,1
3-6-10,0,0,1,6,0,1,3,0,1,3,0,1,0,0,1,0,0,1,0,0,1,12,0,1
9-5-0,0,8,0,0,2,0,0,34,0,0,0,1,0,7,0,0,3,0,0,0,1,0,54,0
11-14-14,0,0,1,0,0,1,0,0,1,0,0,1,2,0,1,0,0,1,0,1,0,2,1,1
10-9-5,0,0,1,0,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0
4-4-1,0,3,0,0,1,0,0,7,0,2,4,0,0,1,0,0,1,0,0,1,0,2,18,0
4-6-8,401,32,1,442,31,1,684,71,1,483,176,1,954,336,1,347,32,1,515,157,1,3826,835,1
11-12-14,0,0,1,0,0,1,11,2,1,1,0,1,10,0,1,0,0,1,6,0,1,28,2,1
10-8-2,0,8,0,0,10,0,0,16,0,0,3,0,0,1,0,0,8,0,0,0,1,0,46,0
3-4-5,233,243,0,271,452,0,455,725,0,269,1049,0,720,859,0,206,520,0,419,705,0,2573,4553,0
9-9-11,1,1,1,7,3,1,2,5,0,7,1,1,3,1,1,0,0,1,0,0,1,20,11,1
12-8-0,0,3,0,0,7,0,0,2,0,0,0,1,0,9,0,0,5,0,0,0,1,0,26,0
8-9-10,77,464,0,377,1101,0,185,386,0,251,162,1,407,310,1,114,268,0,44,176,0,1455,2867,0
7-6-1,0,5,0,0,3,0,0,18,0,0,2,0,0,1,0,0,1,0,0,0,1,0,30,0
6-9-10,196,85,1,316,58,1,577,401,1,201,172,1,618,362,1,122,64,1,220,88,1,2250,1230,1
6-5-0,0,0,1,0,2,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,6,0
3-5-7,526,6,1,546,43,1,897,190,1,721,278,1,1545,216,1,374,135,1,745,210,1,5354,1078,1
10-10-8,0,0,1,0,0,1,0,1,0,0,0,1,0,4,0,0,0,1,0,0,1,0,5,0
2-5-4,0,0,1,1,0,1,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,2,3,0
7-5-3,0,1,0,0,0,1,0,8,0,1,0,1,0,0,1,0,0,1,0,0,1,1,9,0
9-9-10,25,875,0,237,693,0,45,580,0,111,601,0,105,581,0,14,540,0,2,249,0,539,4119,0
10-12-14,3,18,0,5,6,0,37,89,0,26,21,1,58,23,1,9,8,1,9,30,0,147,195,0
7-10-9,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
8-7-8,0,12,0,7,1,1,2,4,0,4,8,0,0,9,0,1,214,0,0,198,0,14,446,0
3-6-7,203,31,1,137,13,1,209,422,0,187,148,1,307,67,1,167,588,0,276,95,1,1486,1364,1
5-6-8,53,4,1,84,25,1,112,42,1,54,18,1,126,59,1,65,21,1,68,14,1,562,183,1
5-10-11,32,0,1,74,0,1,49,0,1,18,0,1,91,0,1,18,0,1,97,0,1,379,0,1
6-5-1,0,9,0,0,7,0,0,28,0,6,13,0,1,1,1,0,7,0,0,4,0,7,69,0
9-10-12,6,9,0,2,4,0,5,36,0,10,15,0,8,9,0,3,2,1,7,15,0,41,90,0
8-9-9,33,241,0,224,510,0,77,632,0,66,223,0,98,278,0,31,327,0,21,186,0,550,2397,0
4-6-6,22,635,0,34,1134,0,33,2489,0,6,249,0,17,884,0,45,1883,0,33,444,0,190,7718,0
2-1-0,4,159,0,0,144,0,1,441,0,1,219,0,3,186,0,1,76,0,0,85,0,10,1310,0
10-8-0,0,4,0,0,5,0,0,6,0,0,0,1,0,3,0,0,1,0,0,0,1,0,19,0
1-4-3,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0
7-10-10,0,11,0,0,820,0,0,167,0,1,0,1,0,28,0,0,163,0,0,34,0,1,1223,0
8-9-12,1,0,1,0,0,1,4,5,0,3,3,1,6,0,1,2,1,1,2,1,1,18,10,1
10-11-10,0,0,1,0,1256,0,0,697,0,0,0,1,0,289,0,0,282,0,0,1483,0,0,4007,0
5-10-13,34,0,1,62,0,1,13,0,1,12,0,1,4,0,1,37,0,1,4,0,1,166,0,1
8-8-5,1,0,1,0,5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,6,0
10-9-2,0,3,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,0
5-8-7,0,2,0,0,0,1,0,4,0,0,0,1,0,4,0,0,2,0,0,0,1,0,12,0
3-7-10,22,0,1,245,0,1,89,0,1,19,0,1,11,0,1,38,0,1,147,0,1,571,0,1
4-9-11,182,0,1,136,0,1,99,0,1,138,0,1,27,0,1,224,0,1,47,0,1,853,0,1
11-9-3,0,3,0,0,8,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,16,0
0-2-2,173,20,1,130,4,1,282,142,1,734,197,1,528,97,1,395,129,1,231,49,1,2473,638,1
13-10-1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
11-7-0,0,38,0,0,39,0,0,19,0,0,0,1,0,20,0,0,16,0,0,0,1,0,132,0
6-8-11,99,0,1,99,12,1,173,1,1,104,24,1,242,23,1,68,0,1,76,30,1,861,90,1
8-8-9,17,44,0,101,93,1,40,209,0,55,195,0,30,73,0,22,298,0,19,188,0,284,1100,0
6-7-6,14,24,0,14,52,0,14,36,0,26,2,1,13,16,0,8,43,0,1,40,0,90,213,0
10-10-10,4,7995,0,131,20208,0,2,43126,0,11,8376,0,61,11827,0,0,12119,0,2,13740,0,211,117391,0
9-8-2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0
6-11-13,25,0,1,122,0,1,446,0,1,220,0,1,621,0,1,163,0,1,235,1,1,1832,1,1
3-4-8,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
7-6-7,0,10,0,5,0,1,6,8,0,11,0,1,6,1,1,2,6,0,0,20,0,30,45,0
10-10-12,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
5-8-11,372,0,1,611,9,1,858,0,1,611,21,1,634,20,1,409,0,1,549,75,1,4044,125,1
8-6-4,0,0,1,0,0,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,0,4,0
2-3-3,460,471,0,615,862,0,2256,1148,1,1144,402,1,3159,554,1,626,249,1,985,349,1,9245,4035,1
1-3-7,0,0,1,0,0,1,4,0,1,20,0,1,0,0,1,0,0,1,0,1,0,24,1,1
12-13-15,0,0,1,0,2,0,20,0,1,6,0,1,10,0,1,0,0,1,7,0,1,43,2,1
7-8-10,33,43,0,124,48,1,73,48,1,73,19,1,144,62,1,41,34,1,49,22,1,537,276,1
4-4-4,354,111,1,269,97,1,669,109,1,560,20,1,376,25,1,395,105,1,122,105,1,2745,572,1
3-5-9,0,0,1,1,0,1,9,0,1,5,0,1,5,0,1,0,0,1,0,0,1,20,0,1
9-9-6,0,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0
1-2-0,0,8,0,0,13,0,3,24,0,1,1,1,2,8,0,6,1,1,2,0,1,14,55,0
2-3-4,807,176,1,1134,733,1,2868,624,1,2278,639,1,6286,776,1,1222,275,1,2643,425,1,17238,3648,1
4-4-6,3,0,1,4,2,1,11,0,1,9,1,1,6,0,1,3,0,1,3,0,1,39,3,1
11-9-5,0,0,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0
7-10-13,250,4,1,200,2,1,424,0,1,177,93,1,482,79,1,98,0,1,511,42,1,2142,220,1
7-5-1,0,20,0,0,17,0,0,60,0,0,9,0,0,19,0,0,15,0,0,4,0,0,144,0
9-8-3,0,4,0,0,7,0,0,6,0,2,0,1,0,0,1,0,1,0,0,0,1,2,18,0
4-3-2,0,7,0,0,3,0,3,11,0,5,11,0,1,4,0,7,0,1,0,2,0,16,38,0
12-9-0,0,2,0,0,0,1,0,7,0,0,0,1,0,10,0,0,0,1,0,0,1,0,19,0
6-8-8,6,487,0,6,1361,0,34,1448,0,3,6,0,39,257,0,8,109,0,7,440,0,103,4108,0
5-7-5,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,2,0
8-7-7,2,17,0,17,5,1,4,109,0,22,33,0,2,18,0,2,1661,0,0,807,0,49,2650,0
10-11-11,1,1,1,2,639,0,3,33,0,0,0,1,0,117,0,0,11,0,0,225,0,6,1026,0
10-12-12,0,0,1,1,0,1,1,1,1,2,0,1,0,20,0,0,0,1,0,7,0,4,28,0
8-9-8,10,490,0,20,1707,0,0,652,0,11,27,0,5,27,0,0,404,0,0,45,0,46,3352,0
8-11-12,57,41,1,9,96,0,53,1483,0,28,236,0,74,383,0,2,113,0,11,125,0,234,2477,0
4-9-12,2,0,1,3,0,1,0,0,1,0,0,1,2,0,1,4,0,1,1,0,1,12,0,1
10-11-14,0,0,1,0,0,1,4,0,1,3,0,1,5,0,1,1,0,1,1,0,1,14,0,1
4-7-9,920,6,1,1092,64,1,948,13,1,792,97,1,1324,225,1,892,7,1,909,135,1,6877,547,1
1-1-2,1040,56,1,2166,77,1,3255,189,1,3842,310,1,5369,355,1,2066,132,1,2096,64,1,19834,1183,1
10-10-11,0,23,0,0,143,0,0,7,0,0,3,0,0,32,0,1,18,0,0,51,0,1,277,0
1-0-0,125,60,1,123,44,1,69,143,0,2,1,1,82,79,1,5,26,0,84,5,1,490,358,1
12-9-1,0,5,0,0,2,0,0,8,0,0,0,1,0,5,0,0,2,0,0,0,1,0,22,0
6-8-10,498,124,1,518,93,1,722,294,1,383,265,1,935,434,1,280,48,1,432,178,1,3768,1436,1
6-7-4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2-2-0,0,36,0,0,41,0,0,149,0,1,71,0,3,57,0,0,12,0,3,26,0,7,392,0
14-14-15,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
4-8-8,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1
4-6-5,0,235,0,2,203,0,1,362,0,0,1,0,4,34,0,3,10,0,0,28,0,10,873,0
7-8-11,3,1,1,4,1,1,5,0,1,5,0,1,4,7,0,2,0,1,4,0,1,27,9,1
12-9-3,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
11-10-11,0,0,1,0,6,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,9,0
3-3-0,0,2,0,0,6,0,0,13,0,0,17,0,0,7,0,0,1,0,0,9,0,0,55,0
4-5-9,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,3,0,1
10-10-13,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
4-8-9,83,0,1,71,2,1,136,3,1,38,2,1,74,14,1,43,6,1,34,2,1,479,29,1
6-7-10,5,0,1,5,0,1,20,0,1,8,1,1,6,0,1,2,0,1,7,1,1,53,2,1
2-3-1,0,0,1,1,0,1,1,3,0,2,0,1,2,0,1,1,1,1,53,0,1,60,4,1
9-10-9,0,1420,0,25,3166,0,0,1239,0,8,795,0,23,582,0,1,689,0,0,225,0,57,8116,0
7-8-5,0,0,1,0,1,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,0
2-6-9,4,0,1,49,0,1,13,0,1,15,1,1,4,0,1,6,0,1,20,1,1,111,2,1
1-3-2,4,20,0,7,25,0,75,40,1,12,22,0,10,4,1,22,11,1,21,8,1,151,130,1
7-8-9,82,358,0,184,612,0,229,548,0,227,38,1,198,144,1,98,222,0,93,271,0,1111,2193,0
10-10-7,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
7-7-3,0,1,0,0,3,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,7,0
3-3-4,143,40,1,185,56,1,280,111,1,222,25,1,246,63,1,107,35,1,121,28,1,1304,358,1
3-3-1,0,13,0,0,10,0,0,47,0,10,37,0,0,4,0,2,1,1,3,10,0,15,122,0
9-9-7,0,25,0,0,0,1,0,177,0,0,0,1,0,0,1,0,0,1,0,0,1,0,202,0
6-8-12,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,3,0,1
10-9-9,4,8968,0,60,10524,0,0,34311,0,65,22357,0,11,12487,0,0,7208,0,0,3229,0,140,99084,0
0-1-2,866,50,1,1063,34,1,2695,427,1,6001,1907,1,3319,960,1,1835,223,1,707,154,1,16486,3755,1
11-10-9,0,0,1,0,0,1,0,18,0,0,0,1,0,636,0,0,0,1,0,0,1,0,654,0
5-8-8,2,19,0,0,20,0,3,110,0,1,6,0,2,4,0,4,55,0,3,9,0,15,223,0
5-8-9,290,34,1,188,85,1,500,312,1,149,145,1,589,277,1,149,34,1,252,75,1,2117,962,1
13-15-15,0,0,1,15,0,1,75,0,1,93,0,1,198,0,1,16,0,1,59,10,1,456,10,1
6-9-12,255,1,1,307,22,1,595,4,1,329,61,1,1107,9,1,170,1,1,341,56,1,3104,154,1
11-13-13,0,0,1,0,0,1,2,2,1,2,0,1,3,0,1,0,0,1,0,0,1,7,2,1
4-4-3,91,42,1,47,53,0,104,39,1,54,3,1,35,18,1,366,26,1,43,16,1,740,197,1
9-11-13,12,72,0,8,51,0,34,461,0,37,225,0,56,124,0,9,20,0,12,79,0,168,1032,0
12-15-15,0,0,1,10,0,1,34,0,1,40,0,1,38,19,1,8,0,1,10,49,0,140,68,1
5-4-6,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1
1-3-4,1294,44,1,1745,146,1,2660,212,1,2179,273,1,3829,257,1,1496,53,1,1685,67,1,14888,1052,1
2-4-5,635,41,1,949,203,1,1738,358,1,1175,343,1,2619,363,1,806,599,1,1052,322,1,8974,2229,1
7-3-0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
6-8-7,0,18,0,0,30,0,0,103,0,0,0,1,6,19,0,0,7,0,0,17,0,6,194,0
9-11-14,3,5,0,3,8,0,7,11,0,18,28,0,14,10,1,3,2,1,4,2,1,52,66,0
