rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
43-44-41,0,0,1,0,25,0,0,182,0,0,0,1,0,90,0,0,18,0,0,92,0,0,407,0
20-31-37,19,0,1,14,9,1,45,5,1,7,7,1,15,13,1,10,2,1,23,3,1,133,39,1
23-35-38,0,0,1,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,0
33-45-58,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
5-11-7,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,1,0,1,0,0,1,3,0,1
10-15-27,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
28-27-22,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,3,0,0,4,0
11-15-9,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
19-25-33,3,0,1,2,0,1,7,0,1,1,1,1,7,0,1,1,0,1,1,0,1,22,1,1
11-26-37,0,0,1,2,0,1,1,0,1,5,0,1,0,0,1,0,0,1,2,0,1,10,0,1
44-46-46,0,0,1,0,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,0
32-44-56,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,2,0
16-32-40,2,0,1,4,0,1,5,0,1,11,0,1,0,0,1,1,0,1,6,0,1,29,0,1
31-34-36,2,2,1,4,3,1,8,6,1,4,4,1,4,4,1,1,5,0,1,6,0,24,30,0
25-26-23,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,3,0,0,1,0,5,6,0
30-35-38,0,4,0,7,6,1,4,6,0,10,1,1,4,3,1,1,9,0,2,4,0,28,33,0
10-9-2,0,1,0,0,1,0,0,4,0,1,3,0,0,0,1,0,0,1,0,1,0,1,10,0
27-36-40,2,6,0,3,4,0,16,37,0,1,8,0,12,1,1,0,2,0,1,1,1,35,59,0
20-18-19,0,0,1,0,0,1,1,1,1,3,0,1,1,0,1,0,0,1,0,1,0,5,2,1
27-32-40,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1
7-14-18,41,1,1,63,4,1,76,10,1,55,9,1,133,14,1,48,2,1,65,6,1,481,46,1
14-29-41,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,3,0,1
46-32-5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2-1-0,5,0,1,4,1,1,0,7,0,0,0,1,4,2,1,1,0,1,3,1,1,17,11,1
18-27-32,3,4,0,18,0,1,8,15,0,4,9,0,6,25,0,5,3,1,7,8,0,51,64,0
19-33-39,7,0,1,8,0,1,8,0,1,2,0,1,2,1,1,3,0,1,2,1,1,32,2,1
20-27-31,3,5,0,0,9,0,10,10,1,2,1,1,4,14,0,1,35,0,2,3,0,22,77,0
18-33-37,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0,1
9-5-0,0,9,0,0,5,0,0,22,0,0,4,0,0,3,0,0,3,0,0,8,0,0,54,0
29-39-38,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,2,0
40-48-55,0,0,1,0,1,0,0,3,0,0,0,1,2,0,1,0,0,1,0,0,1,2,4,0
14-23-25,0,4,0,0,2,0,1,12,0,0,12,0,0,6,0,0,7,0,2,2,1,3,45,0
50-63-63,0,0,1,0,0,1,4,0,1,1,0,1,1,0,1,0,0,1,0,14,0,6,14,0
23-27-37,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
11-21-23,0,0,1,0,0,1,0,1,0,1,5,0,0,1,0,1,0,1,4,0,1,6,7,0
23-26-28,0,2,0,2,4,0,2,11,0,1,1,1,1,3,0,3,39,0,0,2,0,9,62,0
4-16-29,0,0,1,0,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,3,0,1
38-44-47,0,1,0,0,10,0,0,4,0,0,0,1,0,4,0,0,2,0,0,6,0,0,27,0
30-39-44,1,7,0,14,3,1,9,14,0,3,4,0,7,5,1,7,2,1,2,5,0,43,40,1
18-26-23,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
38-50-60,0,3,0,1,9,0,0,23,0,0,42,0,1,19,0,2,0,1,0,2,0,4,98,0
39-40-44,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,3,0
21-32-34,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1
9-10-14,2,0,1,4,0,1,6,0,1,2,0,1,2,0,1,1,0,1,8,0,1,25,0,1
44-56-61,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,2,0
29-34-41,0,1,0,3,0,1,3,0,1,1,0,1,1,1,1,2,1,1,0,0,1,10,3,1
30-42-47,0,0,1,4,0,1,3,8,0,4,1,1,7,11,0,2,4,0,0,2,0,20,26,0
31-42-55,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
14-14-9,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0,1,1,0,1,3,0,1
4-8-8,52,8,1,77,9,1,229,46,1,228,76,1,101,44,1,145,19,1,62,16,1,894,218,1
22-27-36,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1
5-14-23,12,0,1,17,0,1,9,0,1,22,0,1,13,2,1,4,0,1,12,0,1,89,2,1
9-10-8,12,1,1,8,0,1,4,83,0,5,6,0,8,0,1,63,13,1,32,2,1,132,105,1
36-23-4,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0
25-22-15,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,5,0
16-24-27,0,1,0,2,13,0,1,27,0,0,41,0,0,16,0,0,4,0,7,17,0,10,119,0
47-37-2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
27-42-52,10,0,1,4,0,1,21,0,1,10,1,1,13,0,1,3,0,1,37,2,1,98,3,1
