rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
2-3-3,1439,376,1,62,635,0,317,3056,0,438,3044,0,1319,4342,0,135,418,0,238,1577,0,3948,13448,0
2-2-2,417,61165,0,2581,108954,0,596,195805,0,1402,80660,0,1337,91555,0,242,72437,0,157,31309,0,6732,641885,0
2-1-2,0,12,0,7,1,1,3,4,0,4,8,0,0,9,0,1,214,0,0,198,0,15,446,0
2-2-3,1386,393,1,115,565,0,570,3583,0,1068,1648,0,3135,1659,1,88,443,0,430,712,0,6792,9003,0
0-0-2,0,0,1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,2,0,1
2-2-0,0,165,0,0,172,0,0,135,0,3,5,0,0,43,0,0,70,0,0,0,1,3,590,0
1-1-2,3179,674,1,4053,1386,1,4631,2196,1,2822,846,1,4802,1510,1,2978,1033,1,3127,1079,1,25592,8724,1
1-2-1,7,33,0,13,51,0,6,132,0,17,8,1,10,50,0,3,87,0,0,86,0,56,447,0
2-1-0,4,503,0,0,386,0,2,910,0,12,49,0,0,315,0,0,255,0,0,2,0,18,2420,0
0-0-0,30900,8423,1,39430,5182,1,59698,18615,1,54359,17982,1,60724,12972,1,35314,10722,1,29198,5094,1,309623,78990,1
2-1-1,5,20,0,17,24,0,4,126,0,23,33,0,2,24,0,2,1950,0,0,865,0,53,3042,0
0-1-1,4425,1652,1,5211,2656,1,7952,6100,1,6647,4838,1,11777,4402,1,3975,6196,0,6244,3902,1,46231,29746,1
0-2-2,15,0,1,36,0,1,14,0,1,10,0,1,8,0,1,0,0,1,7,0,1,90,0,1
2-2-1,16,1466,0,24,195,0,9,8815,0,47,134,0,5,85,0,1,5015,0,0,1773,0,102,17483,0
1-2-2,8126,3198,1,11893,10766,1,12013,8077,1,10613,1636,1,14823,4011,1,6638,1747,1,7573,3268,1,71679,32703,1
1-0-1,8,4,1,10,2,1,17,4,1,19,0,1,5,0,1,5,4,1,1,2,0,65,16,1
0-0-1,5499,288,1,6714,1036,1,10213,1028,1,10355,1196,1,15152,1388,1,5064,420,1,6656,704,1,59653,6060,1
1-3-3,55,0,1,0,0,1,35,0,1,14,0,1,6,0,1,0,0,1,122,5,1,232,5,1
1-1-1,1892,4680,0,2324,6429,0,3696,12930,0,2942,2209,1,2617,7082,0,2115,11545,0,1170,9748,0,16756,54623,0
1-0-0,25,191,0,23,156,0,29,555,0,30,182,0,18,184,0,36,76,0,6,54,0,167,1398,0
3-2-0,0,10,0,0,10,0,0,27,0,0,0,1,0,32,0,0,9,0,0,0,1,0,88,0
1-1-0,97,340,0,54,274,0,118,721,0,118,122,0,38,217,0,384,199,1,44,51,0,853,1924,0
0-1-0,102,166,0,76,183,0,192,209,0,95,7,1,43,41,1,231,13,1,32,18,1,771,637,1
3-3-3,6,0,1,45,5,1,314,0,1,331,0,1,808,19,1,45,0,1,181,63,1,1730,87,1
0-1-2,1074,2,1,2092,0,1,1509,9,1,1243,182,1,1920,80,1,1345,10,1,2041,162,1,11224,445,1
1-2-3,6455,89,1,6490,143,1,8019,310,1,7471,522,1,12806,646,1,4032,71,1,9839,402,1,55112,2183,1
